external_gene_name,entrezgene_id
RHBDL1,9028
RHBDL1,9028
RHBDL1,9028
PRPF31,26121
RBM4,5936
RBM4,5936
RBM4,5936
RBM4,5936
USH1C,10083
USH1C,10083
USH1C,10083
USH1C,10083
USH1C,10083
USH1C,10083
USH1C,10083
USH1C,10083
USH1C,10083
USH1C,10083
USH1C,10083
USH1C,10083
USH1C,10083
USH1C,10083
USH1C,10083
USH1C,10083
RBM4,5936
RBM4,5936
RBM4,5936
AHDC1,27245
AHDC1,27245
AHDC1,27245
AHDC1,27245
AHDC1,27245
USH1C,10083
USH1C,10083
USH1C,10083
USH1C,10083
USH1C,10083
USH1C,10083
USH1C,10083
USH1C,10083
CNOT3,4849
FRMPD4,9758
SPDYE15,NA
FRMPD4,9758
FRMPD4,9758
RBM4,5936
RBM4,5936
RBM4,5936
RBM4,5936
CNOT3,4849
FAM111B,374393
RBM4,5936
USH1C,10083
USH1C,10083
USH1C,10083
USH1C,10083
USH1C,10083
USH1C,10083
USH1C,10083
FRMPD4,9758
FRMPD4,9758
FRMPD4,9758
FRMPD4,9758
FAM111B,374393
EIF5,1983
EIF5,1983
EIF5,1983
EIF5,1983
RBM4,5936
RBM4,5936
RBM4,5936
FRMPD4,9758
FRMPD4,9758
FRMPD4,9758
RBM4,5936
RBM4,5936
RBM4,5936
FRMPD4,9758
EIF5,1983
FAM111B,374393
FAM111B,374393
RBM4,5936
CHD7,55636
CHD7,55636
EIF5,1983
FAM111B,374393
YIPF1,54432
PRPF31,26121
FAM111B,374393
FAM111B,374393
CHD7,55636
PRPF31,26121
EIF5,1983
EIF5,1983
PRPF31,26121
RBM4,5936
EIF5,1983
EIF5,1983
RBM4,5936
RBM4,5936
RBM4,5936
EIF5,1983
RBM4,5936
RBM4,5936
RBM4,5936
USH1C,10083
USH1C,10083
CHD7,55636
RBM4,5936
RBM4,5936
RBM4,5936
RBM4,5936
EIF5,1983
EIF5,1983
EIF5,1983
EIF5,1983
CHD7,55636
EIF5,1983
CHD7,55636
FOXJ3,22887
FOXJ3,22887
FAAP20,199990
EIF5,1983
ZNF621,285268
ZNF621,285268
ZNF621,285268
ZNF621,285268
CHD7,55636
FOXJ3,22887
FOXJ3,22887
EIF5,1983
EIF5,1983
EIF5,1983
EIF5,1983
FAAP20,199990
FOXJ3,22887
PRPF31,26121
PRPF31,26121
FOXJ3,22887
FAAP20,199990
FOXJ3,22887
FOXJ3,22887
FOXJ3,22887
YIPF1,54432
YIPF1,54432
FAAP20,199990
ECE1,1889
ECE1,1889
ECE1,1889
ECE1,1889
SAMD11,148398
CCDC134,79879
ECE1,1889
FAAP20,199990
FAAP20,199990
YIPF1,54432
YIPF1,54432
CNOT3,4849
CNOT3,4849
ECE1,1889
ECE1,1889
ECE1,1889
ECE1,1889
FOXJ3,22887
FOXJ3,22887
DMTN,2039
FOXJ3,22887
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
FAM111A,63901
TRIM73,375593
ECE1,1889
ECE1,1889
ECE1,1889
ECE1,1889
