gene;ratio;pval;qval
Noct;-0.68;0.000514045;0.012094104
Sh3glb1;2.302;0.000520044;0.012178398
Adgrv1;-1.471;0.000520087;0.012178398
Rps8;-0.678;0.000523586;0.012231423
Stxbp6;-1.695;0.000530796;0.012341635
Gm10717;-1.38;0.0005304;0.012341635
Btbd10;-2.414;0.000536927;0.012454951
Paqr3;-1.231;0.000539793;0.012492168
Dsg2;0.938;0.000541131;0.012493946
Slc44a4;1.094;0.000545134;0.012557097
Cd79a;-2.425;0.00056796;0.013052548
Gm21897;-0.971;0.000585627;0.013427394
Pcsk5;1.2;0.000591389;0.0135282
Taf15;-1.348;0.000593695;0.013549655
Gm10203;-1.028;0.000600495;0.013641974
Hddc3;-2.301;0.000599427;0.013641974
Atf4;-0.662;0.000602707;0.013660903
Snx14;2.449;0.000608432;0.013759176
Gpr107;1.162;0.000630047;0.014215515
Nek7;-2.449;0.000631724;0.014220969
Gm7609;-0.937;0.000636939;0.014305842
Scamp2;1.043;0.000645315;0.014461189
Atp2b4;-2.193;0.000652062;0.014579393
St3gal1;-2.535;0.000655657;0.014593891
Hmgb2;-1.533;0.000654489;0.014593891
Wdr31;-0.85;0.000660935;0.014678378
Snrnp70;-1.13;0.000664379;0.014721859
Gm21769;-1.03;0.000669308;0.014797991
Gpr26;-2.158;0.000681524;0.015034509
Slc5a1;0.684;0.000690531;0.015197648
Slco6c1;-2.125;0.000691988;0.015197648
4931406B18Rik;-2.449;0.000697109;0.01527626
Ddx60;1.391;0.000699416;0.015292973
Muc3a;-2.289;0.000704752;0.015375712
Atp1a3;-2.398;0.000708168;0.01541628
Nlrc3;-2.388;0.000711039;0.015444828
Itfg1;0.896;0.000715655;0.015511083
Mar-02;0.519;0.000724165;0.015661251
Shprh;-2.434;0.000732211;0.015800771
Mov10;0.834;0.000744491;0.016030825
Tpst2;-2.46;0.000747281;0.01605601
Ccl25;0.46;0.000754608;0.016178337
Ankrd10;-2.498;0.000756432;0.016182413
Sc5d;0.825;0.000761825;0.016262674
Ndnf;-0.989;0.000769133;0.016383353
Cald1;-2.39;0.000772931;0.016423422
Retsat;0.921;0.00077433;0.016423422
Cdkn1b;1.465;0.000778282;0.016471976
Ces1d;1.214;0.000786567;0.016611833
Gpr155;1.078;0.000793654;0.016725841
Lamp2;1.062;0.000795911;0.016737779
Senp7;-1.504;0.000809872;0.016995296
Susd6;0.999;0.000816133;0.017090491
Eif3a;-1.505;0.000835974;0.017469028
Fahd1;0.526;0.000847268;0.017667758
Rpl32;-0.683;0.00085127;0.017692898
Slc39a4;0.894;0.000852046;0.017692898
Tmem30b;1.081;0.000861638;0.017854658
Slc30a10;0.537;0.000866795;0.017924008
Il10rb;1.157;0.00087095;0.017972423
Pdia3;0.622;0.000884814;0.018220553
Zc3h7a;-2.281;0.000888089;0.018250044
Mfsd7b;0.86;0.000909053;0.018642169
Fbln1;1.177;0.000916163;0.018749155
Mzf1;-2.326;0.000922677;0.018843538
Zfp866;-2.312;0.000929118;0.018936032
Sh3glb2;2.54;0.000939233;0.019102882
Prap1;0.409;0.000942175;0.019123451
Gm14420;-2.498;0.000956391;0.019372293
Itm2b;0.393;0.000964276;0.01949216
Slc7a11;-1.516;0.000969593;0.019559713
Slc44a1;0.891;0.000973104;0.019590649
Gns;0.937;0.001002177;0.020105446
Surf2;0.937;0.001002735;0.020105446
Atp2b4;-0.939;0.001014562;0.020301492
Ncoa4;0.917;0.001017449;0.020318208
Got1;0.629;0.001028937;0.020465108
2010106E10Rik;0.851;0.001028349;0.020465108
Gm10717;-1.327;0.001031357;0.020472118
Gm10563;-1.049;0.001034217;0.020487829
Muc3;1.798;0.001047233;0.020692942
Slfn9;-1.287;0.001048749;0.020692942
Nvl;-1.184;0.001070456;0.020995783
Rab43;0.81;0.001069051;0.020995783
Gm6480;-0.734;0.001067566;0.020995783
Pls1;0.351;0.001082604;0.021150286
Tma16;-1.278;0.001082313;0.021150286
Cpd;0.936;0.001090749;0.021267456
Eif2a;-0.363;0.001103984;0.021420686
Tmem70;-2.562;0.001107258;0.021420686
Oit1;0.525;0.001105277;0.021420686
Scamp5;0.72;0.001103031;0.021420686
Vrk3;-2.289;0.001113443;0.021424222
Apoc3;2.479;0.00111393;0.021424222
Htatsf1;-2.423;0.001113259;0.021424222
Gpr107;-1.947;0.001137588;0.021836833
Orc3;-1.557;0.001145832;0.02195093
Acox1;0.378;0.001147964;0.02195093
Slc38a6;-1.918;0.001153898;0.02202189
Frmd4b;-2.374;0.001165389;0.022198421
Tmbim1;1.353;0.001181979;0.022471212
Fstl1;-0.939;0.001192481;0.022627437
Tnnc1;-2.045;0.001206088;0.022841874
Srgn;-1.654;0.001209137;0.022855913
Usp17la;-1.45;0.001213589;0.02289638
Fam8a1;0.659;0.001225378;0.023074846
4833439L19Rik;2.824;0.001230942;0.023100721
Atad2;-2.257;0.001231417;0.023100721
Slc23a2;0.591;0.001241257;0.023135826
Gramd3;0.762;0.001240292;0.023135826
Gzmb;-3.188;0.001238133;0.023135826
Plek;-2.187;0.001242631;0.023135826
