gene,Stem cell,TA,Enterocytes [early],Enterocytes [interm],Enterocytes [mature],Paneth,Goblet,Enteroendocrine,Tuft,CD4,CD8,gdT,ILC3,Plasma,cDC,Macrophages,MastCell,Capillary endothel,Lymphatic endothel,Arterial endothel,Venous endothel,Fibroblasts,Pericytes,Neuronal
ITK,5.14E-08,0,0,6.77E-08,0,0,2.05E-07,0,0,0.000139228,7.89E-05,7.08E-05,0,0,0,0,3.61E-05,0,0,0,0,0,8.55E-07,0
ITLN1,4.75E-06,1.01E-05,5.19E-06,3.31E-06,9.54E-06,0.002992527,0.003244073,2.45E-05,1.40E-05,0,0,0,0,0,0,1.80E-06,0,0,0,6.14E-06,0,0,1.62E-06,0
ITLN2,1.48E-06,0,1.02E-06,1.03E-06,1.00E-06,0.003236258,3.37E-05,2.01E-06,0,0,0,7.17E-06,0,3.91E-06,0,0,0,0,0,0,0,1.38E-05,9.50E-07,0
ITM2A,1.53E-06,0,1.20E-06,1.82E-07,0,5.02E-06,6.42E-06,0,0,0.000253618,0.000329583,0.000258851,6.14E-05,2.17E-05,0,0,0.000105587,0.000673613,0.000147942,0.00021819,0.000197006,0,0.000300181,0
ITM2B,0.000450618,0.000288034,0.000386977,0.000689066,0.000844391,0.00027156,0.0003355,0.000473658,0.000701375,0.000731364,0.000960548,0.000939787,0.001434841,0.000194521,0.00106942,0.002105317,0.001061167,0.002490305,0.002190599,0.002414509,0.003292243,0.001604372,0.001703107,0.002301577
ITM2C,8.79E-05,9.09E-05,0.000133599,6.85E-05,5.33E-05,5.89E-05,0.000199557,0.000104782,0.00076893,0.000115307,0.000221428,0.000167921,0,0.00021014,7.85E-05,0.000115116,0.000239387,2.78E-05,4.17E-05,5.62E-06,4.50E-06,9.79E-05,0.000211007,0.000247276
ITPA,4.90E-05,6.23E-05,5.79E-05,3.42E-05,1.77E-05,4.43E-05,5.10E-05,5.29E-05,3.38E-05,0,2.37E-05,3.82E-05,0,3.29E-06,5.69E-05,5.25E-05,0,8.27E-05,2.08E-05,7.78E-06,1.10E-05,2.83E-05,5.45E-05,0
ITPK1,1.61E-05,3.47E-05,3.37E-05,5.74E-05,6.24E-05,3.39E-06,2.67E-05,2.96E-05,2.91E-05,0,3.47E-05,4.84E-05,0,0,0.000141432,2.21E-05,0,4.69E-05,2.52E-05,2.87E-05,7.55E-06,5.93E-05,1.28E-05,0.000340644
ITPK1-AS1,4.90E-07,1.06E-06,1.36E-06,1.38E-06,6.31E-07,0,0,1.07E-06,0,0,0,8.59E-07,0,0,0,0,0,0,0,0,0,0,0,0.000174967
ITPKA,1.40E-05,3.45E-05,3.01E-05,3.03E-05,2.00E-05,1.52E-06,1.88E-05,4.71E-06,2.50E-06,0,0,0,0,4.14E-06,0,0,0,0,0,0,0,0,0,0
